Bedroom,Bathroom,Property Size in sqft,Nearby School,Nearby Mall,Completion Year,Num of Floors,Total Units,Parking Lot,Bus Stop,Mall,Park,School,Hospital,Highway,Railway Station,Land Title_Malay Reserved,Land Title_Non Bumi Lot,State_Kedah,State_Kelantan,State_Kuala Lumpur,State_Labuan,State_Melaka,State_Negeri Sembilan,State_Pahang,State_Penang,State_Perak,State_Perlis,State_Putrajaya,State_Sabah,State_Sarawak,State_Selangor,State_Terengganu,Price
4,2,1000.0,1,1,2022,22,614,2,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,340000.0
3,2,980.0,0,0,1988,22,614,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,250000.0
3,2,1000.0,0,0,2007,13,445,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,230000.0
3,1,592.0,0,0,1998,22,614,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,158000.0
1,1,467.0,1,1,1989,43,956,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,305000.0
3,2,1100.0,0,0,2010,19,706,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,425000.0
3,2,780.0,0,0,1990,5,281,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,230000.0
3,2,852.0,0,0,2000,12,614,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,200000.0
3,2,918.0,1,1,2007,22,614,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,275000.0
3,2,850.0,0,0,2010,435,435,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300000.0
3,2,660.0,0,0,2008,18,701,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,265000.0
3,2,1246.0,0,0,2021,24,1235,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,790000.0
2,1,550.0,0,0,2016,22,614,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,230000.0
